"$submission_id";"$created";"Hvilke roller har du i musikkarbeidet ditt?";"Rolle i musikkproduksjon";"Din situasjon som musiker";"Hvor lang erfaring har du med musikk?";"Hvilken aldersgruppe tilhører du?";"Hovedsjangre du jobber med?.Pop";"Hovedsjangre du jobber med?.Hip hop / RnB";"Hovedsjangre du jobber med?.EDM / elektronisk";"Hovedsjangre du jobber med?.Rock / metal";"Hovedsjangre du jobber med?.Indie / alternativ";"Hovedsjangre du jobber med?.Film-/spillmusikk / mediekomposisjon";"Hovedsjangre du jobber med?.Jazz";"Hovedsjangre du jobber med?.Klassisk ";"Hovedsjangre du jobber med?.Samtidsmusikk";"Hovedsjangre du jobber med?.Annet";"Har du brukt KI i musikk?";"Hva har du brukt KI til?.Idéutvikling (melodier, akkordprogresjoner, beats, loops)";"Hva har du brukt KI til?.Tekst/lyrics";"Hva har du brukt KI til?.Lyddesign (presets, samples, sound design)";"Hva har du brukt KI til?.Mixing / Mastering";"Hva har du brukt KI til?.Markedsføring";"Hva har du brukt KI til?.Demixing";"Hva har du brukt KI til?.Transkribering";"Hva har du brukt KI til?.Vokal (KI-generert sangstemme)";"Hva har du brukt KI til?.Annet (spesifiser):";"Spesifiser hva du har brukt KI til:";"Hvorfor bruker du ikke KI?.Har ikke hatt behov";"Hvorfor bruker du ikke KI?.Vet for lite om KI-verktøy";"Hvorfor bruker du ikke KI?.Foretrekker tradisjonell arbeidsflyt";"Hvorfor bruker du ikke KI?.Stoler ikke på kvaliteten";"Hvorfor bruker du ikke KI?.Etiske eller juridiske bekymringer";"Hvorfor bruker du ikke KI?.Kostnad";"Hvorfor bruker du ikke KI?.Annet";"Hvor ofte bruker du KI i musikk?";"Jeg føler at KI-generert musikk truer min framtid som musiker.";"Jeg er bekymret for at inntektene mine vil synke på grunn av KI.";"KI-verktøy kan gjøre meg mer effektiv i arbeidet mitt.";"Jeg er nysgjerrig på å lære mer om KI-verktøy for musikk.";"KI kan ikke erstatte min kreativitet som musiker.";"Jeg ser først og fremst på KI som et nyttig verktøy, ikke som en konkurrent.";"KI-generert musikk kan være like bra som menneskeskapt musikk";"Hvor sannsynlig er det at du kommer til å bruke KI-verktøy i musikk de neste to årene?";"Hva vil du eventuelt bruke KI til framover?.Idéutvikling (melodier, beats, akkorder)";"Hva vil du eventuelt bruke KI til framover?.Arrangement / strukturering av låter";"Hva vil du eventuelt bruke KI til framover?.Lyddesign / sound design";"Hva vil du eventuelt bruke KI til framover?.Mixing / Mastering";"Hva vil du eventuelt bruke KI til framover?.Tekstarbeid / lyrics";"Hva vil du eventuelt bruke KI til framover?.Forprosjekter/skisser til kunder";"Hva vil du eventuelt bruke KI til framover?.Markedsføring";"Hva vil du eventuelt bruke KI til framover?.Transkribering";"Hva vil du eventuelt bruke KI til framover?.Vokal (KI-generert sangstemme)";"Hva vil du eventuelt bruke KI til framover?.Demixing";"Hva vil du eventuelt bruke KI til framover?.Annet";"Hva vil du eventuelt bruke KI til framover?.Ingen planer om å bruke KI";"Er det noe mer du vil legge til om KI og musikk?";"$answer_time_ms"
"39849768";"2025-12-22T14:41:36+01:00";"Utøvende musiker";"";"musikk som hovedinntektskilde";"mer enn 8 år";"55 år eller eldre";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"1";"0";"0";"0";"0";"";"Litt uenig";"Litt uenig";"Helt uenig";"Verken enig eller uenig";"Helt enig";"Litt enig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"111520"
"39850787";"2025-12-22T16:36:16+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"Ja";"0";"0";"0";"0";"0";"0";"0";"0";"1";"maskinlæring i max/msp, tale til tekst";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Helt enig";"Helt enig";"Helt uenig";"Helt enig";"Helt uenig";"Helt uenig";"Verken enig eller uenig";"Verken sannsynlig eller usannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"akademias tilnærming til KI er tendensiøs spiller på lag med amerikanske oligarker, og tar ikke innover seg virkeligheten som kunstnere og andre med lite penger lever i, mest sannsynlig fordi akademikere lever i en boble.";"310369"
"39850934";"2025-12-22T16:52:41+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"55 år eller eldre";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"Ja";"1";"1";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Av og til (ca. månedlig)";"Helt uenig";"Helt uenig";"Litt enig";"Helt enig";"Litt enig";"Helt enig";"Verken enig eller uenig";"Svært sannsynlig";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"";"391168"
"39851210";"2025-12-22T17:23:10+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"18–24 år";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"1";"0";"0";"";"Helt enig";"Helt enig";"Helt uenig";"Helt uenig";"Helt enig";"Helt uenig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"74192"
"39851243";"2025-12-22T17:26:34+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"55 år eller eldre";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Ja";"1";"0";"1";"1";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Av og til (ca. månedlig)";"Litt uenig";"Litt uenig";"Litt enig";"Helt enig";"Helt enig";"Helt enig";"Litt enig";"Ganske sannsynlig";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"205896"
"39851258";"2025-12-22T17:28:06+01:00";"Musikkprodusent";"Profesjonell frilans musikkprodusent";"";"4–7 år";"25–34 år";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"1";"0";"1";"0";"0";"";"Litt uenig";"Verken enig eller uenig";"Litt enig";"Verken enig eller uenig";"Helt enig";"Helt enig";"Helt uenig";"Lite sannsynlig";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"Jeg vil ikke røre det innenfor musikk, redd for å bli lat og miste mine kreative evner. Bruker det kun til det business relaterte. Søknader, kontrakter, markedsføring osv.";"193160"
"39851307";"2025-12-22T17:32:52+01:00";"Hobby";"";"";"mer enn 8 år";"25–34 år";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"1";"0";"0";"0";"0";"0";"";"Litt enig";"Verken enig eller uenig";"Litt enig";"Litt enig";"Litt enig";"Litt enig";"Litt uenig";"Verken sannsynlig eller usannsynlig";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"256618"
"39851410";"2025-12-22T17:43:58+01:00";"Artist";"";"Annet";"mer enn 8 år";"35–44 år";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"Ja";"0";"1";"0";"1";"1";"0";"0";"1";"1";"Stemme samples (ikke sang)";"0";"0";"0";"0";"0";"0";"0";"Ofte (flere ganger i måneden)";"Litt uenig";"Verken enig eller uenig";"Helt enig";"Helt enig";"Helt uenig";"Helt enig";"Litt uenig";"Svært sannsynlig";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"";"269704"
"39851445";"2025-12-22T17:48:49+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"55 år eller eldre";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"Ja";"0";"0";"1";"1";"0";"1";"0";"1";"1";"Datamaskin assistert komposisjon der jeg lager mine egne verktøy og datasett i det Common LISP-baserte språket Open Music fra IRCAM Centre Pompidou.";"0";"0";"0";"0";"0";"0";"0";"Svært ofte (nesten hver uke eller oftere)";"Verken enig eller uenig";"Helt enig";"Helt enig";"Litt enig";"Helt enig";"Helt enig";"Litt uenig";"Svært sannsynlig";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"";"369081"
"39851501";"2025-12-22T17:54:30+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"55 år eller eldre";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"Ja";"0";"0";"0";"1";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Helt enig";"Verken enig eller uenig";"Litt enig";"Litt enig";"Helt enig";"Verken enig eller uenig";"Helt uenig";"Verken sannsynlig eller usannsynlig";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"170519"
"39851509";"2025-12-22T17:55:50+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"35–44 år";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"1";"1";"0";"1";"";"Verken enig eller uenig";"Litt uenig";"Helt uenig";"Helt uenig";"Helt uenig";"Litt enig";"Helt uenig";"Lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"133432"
"39851518";"2025-12-22T17:56:45+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"25–34 år";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"1";"1";"1";"0";"1";"";"Helt uenig";"Helt uenig";"Helt uenig";"Helt uenig";"Helt enig";"Verken enig eller uenig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Kunst er sosialt og mellommenneskelig av natur; selv den elektroniske og teknologisk intrikate kunsten, har det menneskelige i sin kjerne. Jeg mener KI er en enorm avsporing og distraksjon fra det mest grunnleggende i kunstutøvelsen og -opplevelsen.";"386234"
"39851689";"2025-12-22T18:22:26+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"1";"0";"0";"0";"1";"";"Helt enig";"Helt enig";"Helt uenig";"Helt uenig";"Helt enig";"Helt uenig";"Helt uenig";"Svært lite sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Vi må slutte å kun legge fokus på produktet/sluttresultatet. Mange skriver musikk fordi de har et behov for å skrive, være i prosessen, ikke for å bare ende opp med noe som kan selges og måles og veies. KI får ikke erstattet dette. Ei heller har KI selv behov for å skrive, men når den dagen kommer, da skal jeg ta det seriøst.";"721984"
"39851847";"2025-12-22T18:43:26+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"4–7 år";"25–34 år";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Ja";"0";"1";"0";"1";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Helt uenig";"Helt uenig";"Helt enig";"Litt enig";"Litt enig";"Helt enig";"Helt enig";"Ganske sannsynlig";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"";"244952"
"39851954";"2025-12-22T18:58:08+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Ja";"1";"1";"0";"0";"0";"1";"1";"1";"0";"";"0";"0";"0";"0";"0";"0";"0";"Av og til (ca. månedlig)";"Helt enig";"Helt enig";"Helt enig";"Helt enig";"Helt uenig";"Helt uenig";"Helt enig";"Svært sannsynlig";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"Føkk KI.";"176936"
"39852244";"2025-12-22T19:38:06+01:00";"Hobby";"";"";"mer enn 8 år";"45–54 år";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"Ja";"0";"0";"0";"1";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Av og til (ca. månedlig)";"Litt enig";"Litt enig";"Verken enig eller uenig";"Litt uenig";"Helt enig";"Verken enig eller uenig";"Helt uenig";"Ganske sannsynlig";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"129097"
"39852473";"2025-12-22T20:15:39+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"55 år eller eldre";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"Ja";"0";"0";"0";"0";"0";"0";"1";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Ofte (flere ganger i måneden)";"Helt uenig";"Verken enig eller uenig";"Litt enig";"Litt enig";"Helt enig";"Helt enig";"Litt uenig";"Svært sannsynlig";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"144678"
"39852785";"2025-12-22T21:20:40+01:00";"Artist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"25–34 år";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"0";"0";"0";"0";"0";"";"Litt enig";"Litt enig";"Verken enig eller uenig";"Helt uenig";"Helt enig";"Litt uenig";"Helt uenig";"Lite sannsynlig";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"81349"
"39852849";"2025-12-22T21:35:08+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"55 år eller eldre";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"1";"0";"1";"0";"0";"";"Helt uenig";"Verken enig eller uenig";"Litt enig";"Verken enig eller uenig";"Helt enig";"Helt enig";"Helt uenig";"Ganske sannsynlig";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Jeg mener att det er viktig å skille mellem generativ AI, Deep learning, Neural networks Og Machine learning verktøy. Det jeg ikke vil bruke er verktøy som utfører kreative jobber, altså de som skaper tekst og melodi eller signatur lyder. Jeg bruker gerne KI verktøy som assisterer mix processen, organiserer lyder eller andre admin oppgaver i forbindelse med musikk produksjon, mixing osv. Men har ikke funnet mye nyttig ennå.";"818586"
"39853351";"2025-12-22T23:38:16+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"Ja";"0";"0";"1";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Ofte (flere ganger i måneden)";"Litt uenig";"Litt uenig";"Litt enig";"Litt enig";"Helt enig";"Verken enig eller uenig";"Litt uenig";"Svært sannsynlig";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"176878"
"39853790";"2025-12-23T08:09:42+01:00";"Låtskriver / komponist";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"55 år eller eldre";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"Ja";"1";"1";"0";"0";"1";"1";"1";"1";"0";"";"0";"0";"0";"0";"0";"0";"0";"Svært ofte (nesten hver uke eller oftere)";"Helt uenig";"Helt uenig";"Helt enig";"Helt enig";"Helt enig";"Helt enig";"Helt enig";"Svært sannsynlig";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"Du burde undersøkt en rekke andre forhold. Dessuten bommer du på kartlegging ved å ikke tillate flere roller i spørsmål en.";"205246"
"39854492";"2025-12-23T10:50:59+01:00";"Låtskriver / komponist";"";"musikk som hovedinntektskilde";"mer enn 8 år";"45–54 år";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"0";"1";"0";"1";"0";"0";"";"Verken enig eller uenig";"Verken enig eller uenig";"Litt enig";"Verken enig eller uenig";"Helt enig";"Litt enig";"Litt uenig";"Ganske sannsynlig";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"";"271199"
"39854712";"2025-12-23T11:37:53+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"25–34 år";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Ja";"1";"0";"1";"0";"0";"0";"0";"0";"0";"";"0";"0";"0";"0";"0";"0";"0";"Sjelden (noen ganger i året)";"Litt uenig";"Litt uenig";"Litt enig";"Litt enig";"Helt enig";"Litt enig";"Litt uenig";"Svært sannsynlig";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"";"126025"
"39854720";"2025-12-23T11:38:57+01:00";"Utøvende musiker";"";"Jobber deltid/frilans ved siden av annet arbeid";"mer enn 8 år";"45–54 år";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nei";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"1";"0";"0";"0";"0";"0";"0";"";"Helt enig";"Helt enig";"Helt uenig";"Helt enig";"Litt enig";"Helt uenig";"Helt uenig";"Lite sannsynlig";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"Kategoriene er for brede og tidvis ikke gjensidig utelukkende. Det er derfor vanskelig å svare presist.";"133605"
